features_player,roster_name,team,role,geography,confidence
Shivam Mavi,,,,,67
Narine,Sunil Narine,KKR,All-rounder,Overseas,90
Jadeja,Ravindra Jadeja,CSK,All-rounder,Indian,90
Santner,Mitchell Santner,MI,All-rounder,Overseas,90
Russell,Andre Russell,KKR,All-rounder,Overseas,90
Jackson,,,,,59
Shreyas Iyer,Shreyas Iyer,PBKS,Batter,Indian,100
Conway,Devon Conway,CSK,Batter,Overseas,90
Venkatesh Iyer,Venkatesh Iyer,KKR,Batter,Indian,100
Rahane,Ajinkya Rahane,KKR,Batter,Indian,90
Uthappa,,,,,60
Gaikwad,Ruturaj Gaikwad,CSK,Batter,Indian,90
Umesh Yadav,,,,,67
Dwayne Bravo,,,,,50
Nitish Rana,Nitish Rana,RR,All-rounder,Indian,100
Dhoni,MS Dhoni,CSK,Wicketkeeper/Batter,Indian,90
Chakaravarthy,Varun Chakaravarthy,KKR,Bowler,Indian,95
Shivam Dube,Shivam Dube,CSK,Batter,Indian,100
Tushar Deshpande,Tushar Deshpande,RR,Bowler,Indian,100
Billings,,,,,60
Rayudu,,,,,57
du Plessis,Faf du Plessis,DC,Batter,Overseas,95
Kohli,Virat Kohli,RCB,Batter,Indian,90
Rahul Chahar,Rahul Chahar,SRH,Bowler,Indian,100
Willey,,,,,68
Akash Deep,Akash Deep,LSG,Bowler,Indian,100
Harshal Patel,Harshal Patel,SRH,All-rounder,Indian,100
Rajapaksa,,,,,64
Hasaranga,Wanindu Hasaranga,RR,Bowler,Overseas,90
Livingstone,Liam Livingstone,RCB,All-rounder,Overseas,95
Mayank,Mayank Markande,KKR,Bowler,Indian,90
Sandeep Sharma,Sandeep Sharma,RR,Bowler,Indian,100
Karthik,,,,,77
Arshdeep Singh,Arshdeep Singh,PBKS,Bowler,Indian,100
Shahrukh Khan,Shahrukh Khan,GT,Batter,Indian,100
Siraj,Mohammed Siraj,GT,Bowler,Indian,90
Odean Smith,,,,,55
Harpreet Brar,Harpreet Brar,PBKS,All-rounder,Indian,100
