,,,,,
,S.No,Name,Team,Role,Geography
,1,Ravindra Jadeja,CSK,All-rounder,Indian
,2,Rachin Ravindra (New Zealand),CSK,All-rounder,Overseas
,3,Vijay Shankar,CSK,All-rounder,Indian
,4,Sam Curran,CSK,All-rounder,Overseas
,5,Anshul Kamboj,CSK,All-rounder,Indian
,6,Ramakrishna Ghosh,CSK,All-rounder,Indian
,7,Jamie Overton,CSK,All-rounder,Overseas
,8,Ruturaj Gaikwad,CSK,Batter,Indian
,9,Shivam Dube,CSK,Batter,Indian
,10,Devon Conway (New Zealand),CSK,Batter,Overseas
,11,Rahul Tripathi,CSK,Batter,Indian
,12,Shaik Rasheed,CSK,Batter,Indian
,13,Deepak Hooda,CSK,Batter,Indian
,14,Vansh Bedi,CSK,Batter,Indian
,15,C Andre Siddarth,CSK,Batter,Indian
,16,Matheesha Pathirana (Sri Lanka),CSK,Bowler,Overseas
,17,Ravichandran Ashwin,CSK,Bowler,Indian
,18,Syed Khaleel Ahmed,CSK,Bowler,Indian
,19,Noor Ahmad (Afghanistan),CSK,Bowler,Overseas
,20,Mukesh Choudhary,CSK,Bowler,Indian
,21,Gurjapneet Singh,CSK,Bowler,Indian
,22,Nathan Ellis (Australia),CSK,Bowler,Overseas
,23,Kamlesh Nagarkoti,CSK,Bowler,Indian
,24,Shreyas Gopal,CSK,Bowler,Indian
,25,MS Dhoni,CSK,Wicketkeeper/Batter,Indian
,26,Sameer Rizvi,DC,All-rounder,Indian
,27,Ashutosh Sharma,DC,All-rounder,Indian
,28,Darshan Nalkande,DC,All-rounder,Indian
,29,Vipraj Nigam,DC,All-rounder,Indian
,30,Ajay Mandal,DC,All-rounder,Indian
,31,Manvanth Kumar,DC,All-rounder,Indian
,32,Madhav Tiwari,DC,All-rounder,Indian
,33,Tripurana Vijay,DC,All-rounder,Indian
,34,Tristan Stubbs (South Africa),DC,Batter,Overseas
,35,Jake Fraser-Mcgurk (Australia),DC,Batter,Overseas
,36,Karun Nair,DC,Batter,Indian
,37,Faf du Plessis (South Africa),DC,Batter,Overseas
,38,Donovan Ferreira,DC,Batter,Overseas
,39,Axar Patel,DC,All-rounder,Indian
,40,Kuldeep Yadav,DC,Bowler,Indian
,41,Mitchell Starc (Australia),DC,Bowler,Overseas
,42,T Natarajan,DC,Bowler,Indian
,43,Mohit Sharma,DC,Bowler,Indian
,44,Mukesh Kumar,DC,Bowler,Indian
,45,Dushmantha Chameera (Sri Lanka),DC,Bowler,Overseas
,46,Abishek Porel,DC,Wicketkeeper/Batter,Indian
,47,KL Rahul,DC,Wicketkeeper/Batter,Indian
,48,Rahul Tewatia,GT,All-rounder,Indian
,49,Nishant Sindhu,GT,All-rounder,Indian
,50,Mahipal Lomror,GT,All-rounder,Indian
,51,Washington Sundar,GT,All-rounder,Indian
,52,Arshad Khan,GT,All-rounder,Indian
,53,R Sai Kishore,GT,All-rounder,Indian
,54,Jayant Yadav,GT,All-rounder,Indian
,55,Glenn Phillips (New Zealand),GT,All-rounder,Overseas
,56,Karim Janat (Afghanistan),GT,All-rounder,Overseas
,57,Shubman Gill,GT,Batter,Indian
,58,Sai Sudharsan,GT,Batter,Indian
,59,Shahrukh Khan,GT,Batter,Indian
,60,Mohammad Siraj,GT,Batter,Indian
,61,Sherfane Rutherford (West Indies),GT,Batter,Overseas
,62,Rashid Khan (Afghanistan),GT,Bowler,Overseas
,63,Kagiso Rabada (South Africa),GT,Bowler,Overseas
,64,Prasidh Krishna,GT,Bowler,Indian
,65,Manav Suthar,GT,Bowler,Indian
,66,Gerald Coetzee (South Africa),GT,Bowler,Overseas
,67,Gurnoor Brar,GT,Bowler,Indian
,68,Ishant Sharma,GT,Bowler,Indian
,69,Kulwant Khejroliya,GT,Bowler,Indian
,70,Jos Buttler (England),GT,Wicketkeeper/Batter,Overseas
,71,Kumar Kushagra,GT,Wicketkeeper/Batter,Indian
,72,Anuj Rawat,GT,Wicketkeeper/Batter,Indian
,73,Sunil Narine (West Indies),KKR,All-rounder,Overseas
,74,Andre Russell (West Indies),KKR,All-rounder,Overseas
,75,Angkrish Raghuvanshi,KKR,All-rounder,Indian
,76,Anukul Roy,KKR,All-rounder,Indian
,77,Moeen Ali (England),KKR,All-rounder,Indian
,78,Rinku Singh,KKR,Batter,Indian
